codigo_postal,estado,municipio,ciudad,tipo_asentamiento,asentamiento,clave_oficina
04650,Ciudad de México,Coyoacán,Ciudad de México,Pueblo,Santa Úrsula Coapa,14391
04660,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Joyas del Pedregal,14391
04700,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Pedregal de Carrasco,14391
04710,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Olímpica,14391
04730,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Cantil del Pedregal,14391
04730,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Bosques de Tetlameya,14391
04739,Ciudad de México,Coyoacán,Ciudad de México,Colonia,El Caracol,14391
04800,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Alianza Popular Revolucionaria,04831
04800,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Los Cedros,04831
04810,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Prados de Coyoacán,04831
04815,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Emiliano Zapata,04831
04830,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Los Cipreses,04831
04840,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Ex-Ejido de San Pablo Tepetlapa,04831
04870,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Espartaco,04831
04890,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Jardines de Coyoacán,04831
04890,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Los Olivos,04831
04899,Ciudad de México,Coyoacán,Ciudad de México,Colonia,El Parque de Coyoacán,04831
04909,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Culhuacán CTM Sección VIII,04831
04909,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Culhuacán CTM Sección IX-A,04831
04909,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Culhuacán CTM Sección IX-B,04831
04910,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Carmen Serdán,04831
04918,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Cafetales,04831
04919,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Emiliano Zapata Fraccionamiento Popular,04831
04920,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Los Girasoles,04831
04929,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Las Campanas,04831
04930,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Santa Cecilia,04831
04938,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Campestre Coyoacán,04831
04939,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Culhuacán CTM Sección X,04831
04940,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Los Sauces,04831
04950,Ciudad de México,Coyoacán,Ciudad de México,Colonia,El Mirador,04831
04960,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Villa Quietud,04831
04970,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Haciendas de Coyoacán,04831
04980,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Ex-Ejido de Santa Úrsula Coapa,04831
04980,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Ex-Hacienda Coapa,04831
04980,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Viejo Ejido de Santa Úrsula Coapa,04831
05000,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Cuajimalpa,05501
05010,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Zentlapatl,05501
05020,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Loma del Padre,05501
05030,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,San Pedro,05501
05030,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,La Manzanita,05501
05050,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Pueblo,San Pablo Chimalpa,05501
05100,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Lomas de Vista Hermosa,05501
05110,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Cooperativa Palo Alto,05501
05118,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Granjas Palo Alto,05501
05119,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Campestre Palo Alto,05501
05120,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Bosques de las Lomas,05501
05129,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Lomas del Chamizal,05501
05200,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,San José de los Cedros,05501
05219,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Granjas Navidad,05501
05220,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Tepetongo,05501
05230,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,El Ébano,05501
05240,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,El Molino,05501
05260,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Jesús del Monte,05501
05269,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Amado Nervo,05501
07890,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,La Joya,07001
07890,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Nueva Tenochtitlán,07001
07899,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,La Malinche,07001
07900,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Cuchilla del Tesoro,07981
07910,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,San Juan de Aragón VII Sección,07981
07918,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,San Juan de Aragón VI Sección,07981
07919,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Ex Ejido San Juan de Aragón Sector 32,07981
07920,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,El Olivo,07981
07920,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,San Juan de Aragón,07981
07930,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Indeco,07981
07939,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Héroes de Chapultepec,07981
07940,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Ex Ejido San Juan de Aragón Sector 33,07981
07950,Ciudad de México,Gustavo A. Madero,Ciudad de México,Pueblo,San Juan de Aragón,07981
07960,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Héroes de Cerro Prieto,07981
07960,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Ex Escuela de Tiro,07981
07960,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Fernando Casas Alemán,07981
07969,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,San Juan de Aragón I Sección,07981
07969,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,San Juan de Aragón II Sección,07981
07970,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,San Juan de Aragón III Sección,07981
07979,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,San Juan de Aragón IV Sección,07981
07979,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,San Juan de Aragón V Sección,07981
07980,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Narciso Bassols,07981
07990,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,C.T.M. Aragón,07981
08000,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Gabriel Ramos Millán Sección Bramadero,08231
08010,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Ex-Ejido de La Magdalena Mixiuhca,08231
08020,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Ampliación Gabriel Ramos Millán,08231
08030,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Gabriel Ramos Millán Sección Cuchilla,08231
08040,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Carlos Zapata Vela,08231
08100,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Agrícola Pantitlán,08231
08200,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Viaducto Piedad,08231
08210,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Nueva Santa Anita,08231
08220,Ciudad de México,Iztacalco,Ciudad de México,Barrio,San Pedro,08231
08230,Ciudad de México,Iztacalco,Ciudad de México,Barrio,San Francisco Xicaltongo,08231
08240,Ciudad de México,Iztacalco,Ciudad de México,Barrio,Santiago Norte,08231
08300,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Santa Anita,08231
08310,Ciudad de México,Iztacalco,Ciudad de México,Colonia,La Cruz,08231
08320,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Fraccionamiento Coyuya,08231
08400,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Granjas México,08231
08420,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Cuchilla Agrícola Oriental,08231
08500,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Agrícola Oriental,08231
08510,Ciudad de México,Iztacalco,Ciudad de México,Colonia,El Rodeo,08231
08600,Ciudad de México,Iztacalco,Ciudad de México,Barrio,La Asunción,08231
08610,Ciudad de México,Iztacalco,Ciudad de México,Barrio,Zapotla,08231
08620,Ciudad de México,Iztacalco,Ciudad de México,Barrio,Los Reyes,08231
08650,Ciudad de México,Iztacalco,Ciudad de México,Barrio,San Miguel,08231
08700,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Juventino Rosas,08231
08710,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Tlazintla,08231
08720,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Gabriel Ramos Millán Sección Tlacotal,08231
08730,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Gabriel Ramos Millán,08231
08760,Ciudad de México,Iztacalco,Ciudad de México,Colonia,INPI Picos,08231
08760,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Los Picos de Iztacalco Sección 2A,08231
08760,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Los Picos de Iztacalco Sección 1B,08231
08770,Ciudad de México,Iztacalco,Ciudad de México,Colonia,Los Picos de Iztacalco Sección 1A,08231
09838,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Plan de Iguala,09821
09839,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Ampliación Paraje San Juan,09821
09839,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,San Juan Joya,09821
09840,Ciudad de México,Iztapalapa,Ciudad de México,Pueblo,Los Reyes Culhuacán,09821
09849,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Ampliación Los Reyes,09821
09850,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,San Juan Xalpa,09821
09850,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,San Nicolás Tolentino,09821
09850,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Santa María del Monte,09821
09856,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Estado de Veracruz,09821
09856,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Ampliación Veracruzana,09821
09858,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Paraje San Juan Cerro,09821
09859,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Benito Juárez,09821
09860,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Bellavista,09821
09860,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Ampliación Bellavista,09821
09860,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Casa Blanca,09821
09860,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Cerro de La Estrella,09821
09860,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Parque Nacional Cerro de la Estrella,09821
09860,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,El Rodeo,09821
09868,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,San Juan Estrella,09821
09870,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,12 de Diciembre,09821
09870,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,San Andrés Tomatlán,09821
09870,Ciudad de México,Iztapalapa,Ciudad de México,Pueblo,San Andrés Tomatlán,09821
09870,Ciudad de México,Iztapalapa,Ciudad de México,Pueblo,Santa María Tomatlán,09821
09880,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,El Vergel,09821
09880,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Granjas Estrella,09821
09890,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Lomas Estrella,09821
09897,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Carlos Jonguitud Barrios,09821
09900,Ciudad de México,Iztapalapa,Ciudad de México,Barrio,Guadalupe,09291
09900,Ciudad de México,Iztapalapa,Ciudad de México,Barrio,San Antonio,09291
09900,Ciudad de México,Iztapalapa,Ciudad de México,Barrio,San Lorenzo,09291
09910,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,La Esperanza,09291
09920,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,José López Portillo,09291
09930,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,El Rosario,09291
09940,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Jardines de San Lorenzo Tezonco,09291
09960,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Celoalliotli,09291
09960,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,USCOVI,09291
09960,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,El Molino Tezonco,09291
09960,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Allapetlalli,09291
09960,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,La Planta,09291
09969,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Cananea,09291
09970,Ciudad de México,Iztapalapa,Ciudad de México,Colonia,Valle de San Lorenzo,09291
10000,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,Lomas Quebradas,10021
10010,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,La Malinche,10021
10010,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,San Bartolo Ameyalco,10021
10020,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,Cuauhtémoc,10021
10130,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,El Maestro,10101
10200,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,San Jerónimo Lídice,10701
10300,Ciudad de México,La Magdalena Contreras,Ciudad de México,Pueblo,San Bernabé Ocotepec,10021
10320,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,El Tanque,10021
10330,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,Las Cruces,10021
10340,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,Los Padres,10021
10350,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,Lomas de San Bernabé,10021
10360,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,Huayatla,10021
10368,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,Ampliación Potrerillo,10581
10369,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,Ampliación Lomas de San Bernabé,10021
10369,Ciudad de México,La Magdalena Contreras,Ciudad de México,Colonia,Tierra Unida,10021
01619,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Rinconada de Tarango,01401
01620,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Lomas de Tarango,01401
01630,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Lomas de Puerta Grande,01401
01630,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Puerta Grande,01401
01630,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Los Juristas,01401
01640,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Herón Proal,01401
01645,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ponciano Arriaga,01401
01650,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,La Milagrosa,01401
01650,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Palmas Axotitla,01401
01650,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Tlacuitlapa,01401
01650,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ampliación Tlacuitlapa,01401
01650,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,2o Reacomodo Tlacuitlapa,01401
01650,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,El Ruedo,01401
01650,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Santa Lucía Chantepec,01401
01700,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,La Joyita del Pueblo Tetelpan,01001
01700,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ocotillos del Pueblo Tetelpan,01001
01700,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,San Agustín del Pueblo Tetelpan,01001
01700,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,2a Del Moral del Pueblo Tetelpan,01001
01700,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Tecalcapa del Pueblo Tetelpan,01001
01700,Ciudad de México,Álvaro Obregón,Ciudad de México,Pueblo,Tetelpan,01001
01708,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,El Encino del Pueblo Tetelpan,01001
01708,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,El Mirador del Pueblo Tetelpan,01001
01710,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Las Águilas,01001
01710,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ampliación Alpes,01001
01720,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Lomas de Guadalupe,01001
01729,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Alcantarilla,01001
01730,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Lomas de las Águilas,01001
01730,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Puente Colorado,01001
01740,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,La Peñita del Pueblo Tetelpan,01001
01740,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,San Clemente Norte,01001
01740,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,San Clemente Sur,01001
01750,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Las Águilas 1a Sección,01001
01750,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Las Águilas 2o Parque,01001
01750,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Las Águilas 3er. Parque,01001
01759,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ampliación Las Águilas,01001
01760,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Atlamaya,01001
01760,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Flor de María,01001
01760,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,La Herradura del Pueblo Tetelpan,01001
01770,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,La Angostura,01001
01770,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,San José del Olivar,01001
01780,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Olivar de los Padres,01001
01780,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Tizampampano del Pueblo Tetelpan,01001
01789,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Miguel Hidalgo,01001
01790,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Lomas de los Ángeles del Pueblo Tetelpan,01001
01790,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Lomas de San Ángel Inn,01001
01800,Ciudad de México,Álvaro Obregón,Ciudad de México,Pueblo,San Bartolo Ameyalco,01001
01807,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Rancho San Francisco Pueblo San Bartolo Ameyalco,01001
01810,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Villa Verdún,01001
01820,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Lomas Axomiatla,01001
01820,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ejido San Mateo,01001
01830,Ciudad de México,Álvaro Obregón,Ciudad de México,Pueblo,Santa Rosa Xochiac,01001
01840,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Torres de Potrero,01001
01849,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Rincón de la Bolsa,01001
01849,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Rancho del Carmen del Pueblo San Bartolo Ameyalco,01001
11270,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Argentina Antigua,11411
11280,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Torre Blanca,11411
11289,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Ampliación Torre Blanca,11411
11290,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Huíchapan,11411
11290,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,San Diego Ocoyoacac,11411
11300,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Verónica Anzures,11411
11310,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Mariano Escobedo,11411
11320,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Anáhuac I Sección,11411
11320,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Anáhuac II Sección,11411
11330,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Un Hogar Para Nosotros,11411
11340,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Santo Tomas,11411
11350,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Plutarco Elías Calles,11411
11360,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Agricultura,11411
11370,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Tlaxpana,11411
11400,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Popotla,11411
11410,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Legaria,11411
11410,Ciudad de México,Miguel Hidalgo,Ciudad de México,Pueblo,Tacuba,11411
11420,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Nextitla,11411
11430,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Pensil Norte,11411
11430,Ciudad de México,Miguel Hidalgo,Ciudad de México,Colonia,Ventura Pérez de Alva,11411
